Text,Intent
آیا میتوانی تون صدا را پایین تر بیاوری لطفا,audio_volume_down
لطفا صدای بلندگوها را کمتر کن,audio_volume_down
صدای خودت را کمتر کن لطفا,audio_volume_down
بلندگوی صدا را آرام کن,audio_volume_down
لطفا با صدای آرام تر با من صحبت کن,audio_volume_down
بازی ها,play_game
با من شطرنج بازی کن,play_game
بیا سوبرا بازی کنیم,play_game
میتونیم بازی گرز ثریت را انجام بدیم,play_game
فلپی برد بازی کن,play_game
super mario brothers را با من بازی کن,play_game
موج سواران مترو با من بازی کن,play_game
من میخوام rock paper scissors بازی کنم بیا بازی کنیم,play_game
می‌خواهم بازی کنم,play_game
بیا بازی کنیم,play_game
تو را به یک بازی دعوت می‌کنم.,play_game
شطرنج را باز کن و در مقابل من بازی کن,play_game
بیا شطرنج بازی کنیم,play_game
نرم افزار شطرنج را باز کن,play_game
بازی games directory را باز کن,play_game
بیا canasta بازی کنیم,play_game
من میخام با تو بازی کنم,play_game
آیا میخوای سالیتر بازی کنی,play_game
با من سالیتر بازی کن,play_game
سالیتر را باز کن و با من بازی کن,play_game
انگری بردز را باز کن,play_game
bejeweled را باز کن,play_game
من به شماره یک تا ده فکر می‌کنم,play_game
شطرنج,play_game
angry bird بازی کن,play_game
گلف بازی کن,play_game
بازی کلش رویال رو باز کن,play_game
کندی کراش را باز کن,play_game
بیا tic tac toe بازی کنیم,play_game
بیا یک بازی کنیم tic tac toe چطوره,play_game
لطفا بازی کریکت من را باز کن,play_game
بیا اسکربل بازی کنیم,play_game
با من جورچین بازی کن,play_game
با من تخته نرد بازی کن,play_game
با من چکرز بازی کن,play_game
اسپایدر را شروع کن,play_game
بازی شطرنج را باز کن,play_game
دوست داری یک بازی انجام بدی,play_game
بازی san andreas را شروع کن,play_game
جی تی ای وایس سیتی را بازی کن,play_game
بیا با هم space invaders بازی کنیم,play_game
بیا شطرنج بازی کنیم,play_game
دوست داری شطرنج بازی کنی,play_game
در بازی مبارز خیابانی با من مبارزه کن,play_game
به من یک شرکت برای بازی فوتبال بده,play_game
fifa seventeen را باز کن,play_game
بازی مار و پله چطوره,play_game
بیا مسابقه فوتبال مورد علاقه مان را در تلویزیون بازی کنیم,play_game
بیا سر کندی کراش شرط ببندیم.,play_game
بازی پوکر را شروع کن,play_game
بیا چکرز بازی کنیم,play_game
بیا با هم شطرنج بازی کنیم,play_game
بازی موج سواران مترو را باز کن,play_game
پوکر با من بازی کن,play_game
بازی جنگ ستارگان را برای بیار,play_game
بازی فرار از معبد را برایم پخش کن,play_game
لطفا بازی snooker را باز کن من دوست دارم با تو بازی کنم,play_game
لطفا شطرنج را باز کن من دوست دارم با شما بازی کنم,play_game
بازی minestart را از آخرین مرحله ای که بازی کردیم باز کن,play_game
بازی شطرنج را شروع کن,play_game
با من این بازی را انجام بده,play_game
ازت میخوام این بازی را برایم پخش کنی,play_game
بیا در برابر من با هم هفت سنگ بازی کنیم مهارتم همیشه اجازه میده من ببرم,play_game
بازی کندی کراش را برایم باز کن,play_game
بازی شطرنج,play_game
بازی را اجرا کن,play_game
با من شطرنج بازی کن,play_game
بازی کریکت را برای من باز کن,play_game
ماریو,play_game
شطرنج بازی کن,play_game
شطرنج را باز کن,play_game
فرار از معبد را شروع کن,play_game
بازی فرار از معبد را پخش کن,play_game
pong از شادمهر عقیلی پخش کن,play_game
بازی های من برای بازی در کامپیوترم,play_game
لطفا بازی شطرنج را باز کن و با من بازی کن,play_game
دوست داری با من بازی کنی,play_game
دوست داری با من بازی کنی اوولی,play_game
لطفا بازی ای را که میتوانی با من انجام بدی انتخاب کن,play_game
ایا میخوای با من monopoly بازی کنی,play_game
با من شطرنج بازی کن,play_game
بازی هایی که میتونی با من انجام بدی را لیست کن,play_game
شطرنج با من بازی کن,play_game
میتونیم بیست سوالی بازی کنیم,play_game
من میخوام trivia game بازی کنم,play_game
بازی مورد علاقه ام به نام شطرنج را باز کن,play_game
آخرین بازی ها را بازی کن,play_game
شطرنج,play_game
اسکواش با من بازی کن,play_game
بیست سوالی را تو شروع کن,play_game
لطفا با من trivial pursuit بازی کن,play_game
من دوست دارم الان jeopardy بازی کنیم,play_game
بازی شطرنج چطوره,play_game
کریکت را بازی کن,play_game
با من تنیس بازی کن,play_game
مسابقه فوتبال را الان برایم پخش کن,play_game
با من بازی کن,play_game
بیا شطرنج بازی کنیم,play_game
میشه با من چکرز بازی کنی,play_game
من میخوام با تو شطرنج بزی کنم,play_game
ما می خوایم با هم پوکر بازی کنیم,play_game
با من شطرنج بازی کن,play_game
بیا cross words بازی کنیم,play_game
من میخوام با تو سالیتر بازی کنم,play_game
میشه بازی کنیم,play_game
دوست داری یک بازی را شروع کنی,play_game
این بازی را شروع کن,play_game
لطفا این بازی را شروع کن,play_game
این بازی را باز کن,play_game
بیا یک بازی بکنیم,play_game
بیا شکار نازی بازی کنیم,play_game
ای کاش میتونستیم با هم بازی ویدئویی بازی کنیم,play_game
بازی های ویدئویی,play_game
با من یک بازی بکن,play_game
سوپر ماریو را شروع کن,play_game
با من اسکربل بازی کن,play_game
نرم افزار شطرنج را باز کن و شروع به بازی کن,play_game
بیا global thermonuclear war بازی کنیم,play_game
بازی کشتی جنگی را شروع کن,play_game
لطفا جنگ قبیله‌ها را بازی کن,play_game
لطفا کلش آف کلنز را شروع کن,play_game
بازی tic tac toe را برایم شروع کن,play_game
با من بازی کن,play_game
میتوانی با من شطرنج بازی کنی لطفا,play_game
بازی را شروع کن,play_game
بازی پینگ پنگ را باز کن,play_game
رادیو جوان پخش کن.,play_game
با من فوتبال بازی کن,play_game
من میخوام فیفا هفده بازی کنم,play_game
بیا بازی,play_game
بازی saga را باز کن,play_game
اوولی با من پوکر بازی کن,play_game
بازی شطرنج را برایم پخش کن,play_game
لطفا بازی شطرنج را باز کن من دوست دارم با تو بازی کنم,play_game
یک بازی را شروع کن و با من بازی کن,play_game
تصنیف طرب منم من طربم طرب منم زهره زند نوای من پخش کنیم,play_game
بازی racing را باز کن,play_game
بازی papa pear saga را شروع کن,play_game
papa pear saga را بالا بیار,play_game
شطرنج بازی کن,play_game
بازی کن,play_game
به عنوان بازیکن دوم شطرنج بازی کن,play_game
ما باید جنون سرعت رو با سرعت بالا بازی کنیم,play_game
بازی شطرنج را برای ما باز کن,play_game
لطفا بازی شطرنج را باز کن و با من بازی کن,play_game
بازی ها را باز کن,play_game
بازی شطرنج را برای خودم و خودت باز کن,play_game
allexa با من شطرنج بازی کن,play_game
من دوست دارم شطرنج بازی کنم میتونی آن را باز کنی,play_game
بازی زیبای شطرنج چطوره,play_game
سالیتر را باز کن,play_game
بازی مسابقه را پخش کن,play_game
بیا پینبال بازی کنیم,play_game
بازی اسپایدر را شروع کن,play_game
میخوای با من بازی کنی,play_game
از تو می‌خواهم بازی فوتبال از مرحله پنجم ادامه دهی,play_game
میخواهم game of trivia بازی کنم,play_game
بازی را پیدا کن,play_game
با من مار بازی کن,play_game
بیا پازل را حل کنیم,play_game
قصه های گلابی پاپا را باز کن,play_game
بیا چکرز بازی کنیم,play_game
بازی کن,play_game
میتونی نقش دشمن را در بازی کلش آو کلنز بازی کنی,play_game
با من شطرنج بازی کن,play_game
میتونی شطرنج بازی کنی,play_game
آیا میتونی پوکر با من بازی کنی,play_game
بیا شطرنج بازی کنیم,play_game
بیا شطرنج بازی کنیم,play_game
من میخوام دوباره آهنگ ابی را گوش بدم,play_music
من میخوام آن موزیک را دوباره پخش کنم,play_music
لطفا خاطر خواه از ایوان بند را پخش کن,play_music
آهنگ از ایوان بند پخش کن,play_music
لطفا بهترین آهنگ من را پخش کن,play_music
آن آهنگ که من دوست دارم را پخش کن,play_music
ایوان بند پخش کن,play_music
چند تا رستاک پخش کن,play_music
لیست آهنگ های جاز من پخش کن,play_music
لیست آهنگ های جاز من را پخش کن,play_music
لیست آهنگ های مورد علاقه من را پخش کن,play_music
میتونی چند تا جاز پخش کنی,play_music
لیست آهنگ های ابی من را پخش کن,play_music
فرزاد فرزین را از لیست آهنگ های من پخش کن,play_music
آخرین آهنگ از لیست آهنگ های مورد علاقه من را پخش کن,play_music
چند تا آهنگ هیپ هاپ برای من پخش کن,play_music
الان متال پخش کن.,play_music
olly از پیانیست مورد علاقه من آهنگ پخش کن,play_music
ترک هشت از موسیقی google play را پخش کن,play_music
از لیست پخش من یک آهنگ تصادفی پخش کن,play_music
لطفا آهنگ آزادی منصور را پخش کن,play_music
لطفا نرم افزار موزیک من را باز کن و آهنگ نشد مهدی جهانی را پخش کن,play_music
آهنگ تقدیر از شادمهر را لطفا پخش کن,play_music
ترس از شادمهر را پخش کن,play_music
آهنگ لطفا,play_music
پوشه پالت را پخش کن,play_music
ابی پخش کن,play_music
موزیک عید نوروز قدیمی پخش کن,play_music
من میخوام آهنگ کلاسیک گوش بدم,play_music
من میخوام جاز گوش بدم,play_music
آهنگ هایی از ابی پخش کن,play_music
آهنگ هایی از ابی پخش کن,play_music
آهنگ های من را که بیشترین تعداد پخش شده را دارند را پخش کن,play_music
لیست آهنگ ها را پخش کن,play_music
سلام olly لیست آهنگ ها را بزار,play_music
میتونم چند تا آهنگ پس زمینه بگیرم,play_music
در لیست آهنگ یک تا ده را پخش کن,play_music
بابک جهانبخش از اول سازش,play_music
لطفا موزیک را روشن کن من میخوام آهنگ های مورد علاقه ام را گوش بدم,play_music
ایا من میتونم به پنجاه قطعه برتر که تو الان داری از رادیو گوش میدی گوش بدم,play_music
لطفا اکنون موسیقی کلاسیک را برای شام پخش کن,play_music
میتونی آهنگ لیدی گاگا پخش کنی,play_music
من میخوام آهنگ مورد علاقم از ایوان بند را بشنوم,play_music
لیست آهنگ های شماره هفت را پخش کن,play_music
چند تا آهنگ از لیست آهنگ های من پخش کن,play_music
آهنگ های معروف آخرین آلبوم متالیکا رو پخش کن.,play_music
بهم یادآوری کن این اهنگ را امشب گوش بدم,play_music
لطفا یه آهنگ از لیست مورد علاقه‌ام برام پخش کن,play_music
برای من آهنگ بزار,play_music
یک آهنگ از لیلا فروهر برای من پخش کن,play_music
لطفا چندتا از قطعات موسیقی کلیسایی پخش کن,play_music
من میخوام به چند تا موزیک قرانی گوش بدم,play_music
میتونی آخرین آهنگ من را پخش کنی,play_music
یک آهنگ از ابی پخش کن,play_music
یک آهنگ از دیشب ساعت شش غروب پخش کن,play_music
من میخوام ایوان بند گوش بدم لطفا,play_music
من میخوام آهنگ های ابی را گوش بدم,play_music
آهنگ نوازش ابی را پخش کن,play_music
بعد از این یکی آخرین آهنگ های ابی را پخش کن,play_music
آهنگی که من دوست دارم را پخش کن,play_music
همه ی جدیدترین آهنگ های پاپ را پخش کن,play_music
بعدی لیست آهنگ های شاد را پخش کن,play_music
از لیست موزیک های ترنس من پخش کن,play_music
به ترس از شادمهر گوش بده,play_music
همه آهنگ های راک را پخش کن,play_music
به ترتیب فعلی ترس را اضافه کن,play_music
لیست آهنگ های جدید ابی را پخش کن,play_music
فهرست آهنگ های جدید ابی را پخش کن,play_music
نوازش ابی را پخش کن,play_music
چند تا آهنگ پخش کن,play_music
به پاندورا برو و رادیو راه شب را پیدا کن و پخش کن لطفا,play_music
چندتا آهنگ از ابی برام پیدا کن گوش بدم.,play_music
جدیدترین لیست آهنگ های ابی را پخش کن,play_music
جدیدترین لیست آهنگ های ابی را پخش کن,play_music
آهنگ آر اند بی پخش کن,play_music
آر اند بی پخش کن,play_music
آهنگ آر اند بی,play_music
نوازش ابی را برای من پخش کن,play_music
آهنگ خاطر خواه از ایوان بند را پخش کن,play_music
برای من کمی آهنگ پخش کن,play_music
چند تا آهنگ آرامش بخش پخش کن,play_music
من میخوام کمی آهنگ گوش بدم,play_music
الان آهنگ پخش کن,play_music
لیست آهنگ های ایوان بند را برایم درست کن,play_music
یک آهنگ جدید از ابی برایم پیدا کن,play_music
آهنگ مورد علاقه من را از ایستگاه pandora پخش کن,play_music
از آرتیست مشخص موزیک پخش کن,play_music
بعد از این آهنگ خاطر خواه را پخش کن,play_music
وقتی این آهنگ تمام شد آزادی را پخش کن,play_music
بعد از اینکه این آهنگ تمام شد میخواهم ترس از شادمهر را گوش بدم,play_music
ترس از شادمهر را پخش کن,play_music
نوازش از ابی را پخش کن,play_music
من میخوام ترس را گوش بدم,play_music
آهنگ ترس را جستجو کن و آن را پخش کن,play_music
از آخرین لیست آهنگ های من ابی پخش کن,play_music
من میخوام آهنگ عشق را در لیست آهنگ های راک خودم گوش بدم,play_music
آهنگ ابی را پخش کن,play_music
آخرین آهنگ ابی را برایم پخش کن,play_music
آیا می توانی سازها را بنوازی,play_music
میتونی آهنگ هایی در مورد شکست عشقی پخش کنی,play_music
لذت,play_music
غمگین,play_music
لیست آهنگ های صبحگاهی من را پخش کن,play_music
لیست پخش قبل بازی را پخش کن,play_music
فهرست آهنگ های رقص من را پخش کن,play_music
نوازش ابی را پخش کن,play_music
آهنگ ترس را پخش کن,play_music
ترس از شادمهر را پخش کن,play_music
همه ی آهنگ های من از ابی را جمع آوری کن,play_music
فهرست آهنگ های ابی را پخش کن,play_music
فهرست آهنگ های پنجم از ابی را پخش کن,play_music
آخرین آلبوم را روی تکرار پخش کن,play_music
همه آهنگ های مورد علاقه من را پخش کن,play_music
لیست آهنگ های غمگین من را پخش کن,play_music
لظفا تنظیمات پلی لیست رو روی موسقی پاپ قرار بده و همه ی آهنگ ها رو با صدای بلند پخش کن.,play_music
همه آهنگ های ابی را پخش کن,play_music
عشق از ایوان بند را پخش کن,play_music
فهرست آهنگ های من,play_music
آهنگی برایم پخش کن,play_music
قطعه رقص بزار,play_music
موزیک لایت پخش کن,play_music
اوولی من الان نیاز دارم آهنگ عاشقانه از فرزاد فرزین را گوش بدم,play_music
فردا ساعت پنج صبح یه آهنگ خشن پخش کن تا حتما بتونم بیدار شم.,play_music
من دوست دارم هر آهنگی از ابی که به آن پنج ستاره دادم را گوش بدم,play_music
عشق را الان پخش کن,play_music
ترس را پخش کن,play_music
لطفا ترس از شادمهر را پخش کن,play_music
دورهمی,play_music
spotify,play_music
من می‌خوام ابی گوش بدم لطفا پخشش کن,play_music
آهنگ برای من پخش کن,play_music
آهنگ پریزاد را پخش کن,play_music
موزیک کلاسیک قدیمی پخش کن,play_music
موزیک کلاسیک دهه شصت پخش کن,play_music
آهنگ فیلم طلاق رو پخش کن,play_music
قطعه موسیقی نوازش ا پخش کن,play_music
اهنگ را به صورت تصادفی پخش کن,play_music
آهنگ از ابی بزار,play_music
ابی پخش کن,play_music
آهنگ از منصور بزار,play_music
لطفا چند تا آهنگ جاز پخش کن,play_music
بیست آهنگ پرفروش جاز کدوما هستن,play_music
لیست اجرا را پخش کن,play_music
صنم را پخش کن,play_music
تقدیر را پخش کن,play_music
یک لیست از تمام آهنگ های ابی درست کن و به صورت تصادفی پخش کن,play_music
آخرین آهنگ ایهام را پخش کن,play_music
جدیدترین آهنگ های فولکلور در رده چهار ستاره یا بالاتر را دانلود کن و همه را بدون آنکه به صورت تصادفی پخش شود پخش کن,play_music
همه آهنگ های پاپ بیست و پنج بند را پخش کن,play_music
لطفا موزیک از همایون شجریان به ترتیب پخش کن,play_music
غریب آشنا را پخش کن,play_music
هر آهنگی از ایوان بند پخش کن,play_music
آهنگ آخر را از آخرین لیست آهنگ های من پخش کن,play_music
جاز از آخرین آلبوم مهدی احمدوند را پخش کن,play_music
آهنگ جدید از آرون افشار را پخش کن,play_music
من دوست دارم محسن یگانه گوش بدم,play_music
چند تا ترک از ناصر عبداللهی پخش کن,play_music
موزیک سبک کانتری پخش کن,play_music
چند تا موزیک از فرکانس بند پخش کن,play_music
آهنگ هایی از ایوان بند پخش کن,play_music
من میخوام بیست و پنج بند گوش بدم,play_music
بیا چند تا جاز گوش بدیم,play_music
بیا به لیست آهنگ ها گوش بدیم,play_music
پخش ترکیبی را بزن و لیست آهنگ ها را پخش کن,play_music
یه کم موزیک تکنو بذار لطفا,play_music
میخام چند تا آهنگ سالار عقیلی برای من پخش کنی,play_music
کمی آهنگ ملودی پخش کن,play_music
آهنگ رادیو آوا پخش کن,play_music
آهنگ هایی از تایتانیک بزار,play_music
لیست موزیک جدید را پخش کن,play_music
فقط شادمهر عقیلی بعد از هزاروسیصد‌وهفتاد رو بذار,play_music
فقط علیرضا افتخاری از هزار و سیصد و هفتاد پخش کن,play_music
راک فقط از هزارونهصدونود به بالا باید انتخاب وپخش شود,play_music
فقط موسیقی تولید شده بین هزار و نهصد و نود و دو هزار رو پخش کن.,play_music
هزار وسیصد و شصت هزار و سیصد و هفتاد,play_music
من میخام چند تا آهنگ راک خوب پیدا کنم,play_music
آهنگ راک برای من پخش کن,play_music
میخوام آهنگ کانتری گوش بدم,play_music
سبک را از راک به کلاسیک تغییر بده,play_music
همه آهنگ های شادمهر را پخش کن,play_music
همه آهنگ های راک را پخش کن,play_music
همه آهنگ ها را از لیست آهنگ های مورد علاقه پخش کن,play_music
لطفا آهنگ بعدی را پخش کن,play_music
عشق را پخش کن,play_music
آهنگ عاشقانه را پخش کن و بعد ترس را,play_music
لطفا آهنگ لیلا را پخش کن,play_music
آهنگ مورد علاقه را بزار,play_music
مجدد پخش ترکیبی را بزن و آهنگ پخش کن,play_music
آهنگ لیلا از ماه گذشته را پخش کن,play_music
آهنگی در لیست آهنگ ها را پخش کن,play_music
جستجو کن و بهترین آهنگ های ابی را پخش کن,play_music
برای من بخوان,play_music
یک رکارد بگذار,play_music
آهنگ شصت را پخش کن,play_music
ده آهنگ برتر را پخش کن,play_music
آن آهنگ آخر را پخش کن,play_music
چند تا آهنگ برای من بزار,play_music
چند تا آهنگ پخش کن,play_music
فهرست آهنگ های پیاده روی را پخش کن,play_music
از لیست داده شده یک آهنگ پخش کن,play_music
سلام سیری یک لیست پخش خودکار بر اساس آهنگ هایی که در برنامه شنیده شده در اپ رپ این هفته شنیده شده را برای من پخش کن,play_music
بر اساس آهنگ های شنیده شده اسپاتیفای در این هفته یه پلی لیست خودکار برام پخش کن.,play_music
سلام برای من لیست آهنگ های ابی را که امسال منتشر شد پخش کن,play_music
آهنگ مورد علاقه من را پخش کن,play_music
موزیک کلاسیک را جستجو کن و پخش کن,play_music
اهنگ فیلم کرگدن را پخش کن,play_music
یک آهنگ از ابی پخش کن,play_music
میتونی ابی پخش کنی,play_music
لطفا ترس را پخش کن,play_music
چند تا جاز برایم پخش کن,play_music
لطفا آهنگ جاز پخش کن,play_music
چند تا از برام پخش کن,play_music
من میخوام ایوان بند در کنسرت زنده گوش بدم,play_music
من دوست دارم هر آهنگ کلاسیکی را گوش بدم به جز ابی و شادمهر,play_music
من دوست دارم هر آهنگ کلاسیکی را گوش بدم به جز ابی یا شادمهر,play_music
ده آهنگ برتر امسال ایوان بند را برای من پخش کن,play_music
آخرین لیست آهنگ هایی که پخش شد را پخش کن,play_music
لطفا ترس از پالت را پخش کن من خوشحال میشوم,play_music
سازهای زهی و پیانو فقط لطفا گیتار آکوستیک نه گیتار الکتریک,play_music
آهنگ دل به دل را در جایگاه سوم در لیست پخش من قرار بده,play_music
آهنگ پاپ جدید پخش کن,play_music
آخرین آهنگ پاپ را پخش کن,play_music
فولک پخش کن,play_music
جاز پخش کن,play_music
آهنگ مورد علاقه,play_music
فولک مورد علاقه,play_music
آهنگ جاز پخش کن,play_music
من میخوام راک کلاسیک گوش بدم,play_music
فراق را پخش کن,play_music
من میخوام عشق را گوش بدم,play_music
من میخوام عشق را گوش بدم,play_music
نوازش از ابی را پخش کن,play_music
لطفا آهنگ عشق را برایم پخش کن,play_music
این آهنگ رو ببر اول,play_music
لطفا آهنگ ابی پخش کن,play_music
میتونی اهنگ ابی پخش کنی,play_music
چند تا آهنگ پاپ بزار,play_music
آلبوم های جدید پخش کن,play_music
آهنگی که اخیرا اضافه شده را پخش کن,play_music
انگیزشی پخش کن,play_music
آهنگ را از جایی که رها کردی پخش کن,play_music
ترس را پخش کن,play_music
لیست پخش الکترونیک را پخش کن,play_music
لیست پخش الکترونیک من را پخش کن,play_music
در لیست پخش اول از همه موسیقی الکترونیک پخش کن.,play_music
این آهنگ را پخش کن,play_music
یک آهنگ از ابی بزار,play_music
آهنگ ابی را شروع به پخش کن,play_music
ابی را به صورت پخش تصادفی پخش کن,play_music
موزیکی که فقط کلاسیک باشه را پخش کن,play_music
همه آهنگ های کلاسیک را برای من پیدا کن,play_music
فقط موزیک کلاسیک پخش کن,play_music
لیست آهنگ ها را باز کن,play_music
alexa راک کلاسیک پخش کن,play_music
لطفا پنج آهنگی که از همه بیشتر گوش داده ام را پخش کن.,play_music
یک آهنگ رپ و راک پشت سر هم پخش کن,play_music
آهنگ ایوان بند را پخش کن,play_music
بعد از این آهنگ متالیکا بزار,play_music
آهنگ بعدی میخوام نوازش را گوش بدم,play_music
اسپاتیفای را باز کن و فهرست پنجم را پخش کن,play_music
لیست پخش پنج را باز کن,play_music
فهرست پنج را پخش کن,play_music
یک آهنگ از میثم ابراهیمی بزار,play_music
لیست آهنگ های راک را پخش کن,play_music
آهنگ ایهام در فیلم غریب آشنا را پخش کن,play_music
از لیست آهنگ ها آهنگ ها ی آرام من را از spotify پخش تصادفی کن,play_music
همین الان آهنگ مورد علاقه من را پخش کن,play_music
آهنگ جدید شجریان پخش کن,play_music
تمام آهنگ های یاس را به صورت تصادفی پخش کن,play_music
پنجاه آهنگی ا که بیشتر اوقات گوش می‌کنم پخش کن,play_music
آهنگ را مجدد پخش کن,play_music
لیست آهنگ های هیپ هاپ را پخش کن,play_music
لیست آهنگ های کانتری را پخش کن,play_music
مورد علاقه ها را پخش کن,play_music
چند تا شادمهر بزار,play_music
بهترین آهنگ شجریان را پخش کن,play_music
آهنگ راک پخش کن,play_music
لطفا آهنگ راک بزار,play_music
تقدیر را پخش کن,play_music
نوازش,play_music
آهنگ,play_music
آهنگ را پخش کن,play_music
آهنگ منتخب را پخش کن,play_music
آهنگ جاز الان بزار,play_music
پخش آهنگ جاز را شروع کن,play_music
لطفا آهنگی از ستین پیدا کن,play_music
لطفا هر آهنگی از سالار عقیلی پخش کن,play_music
نوازش از ابی را پخش کن,play_music
میتونی جدیدترین آهنگ از ابی را پیدا کنی,play_music
سلام آغوش از شادمهر را پخش کن,play_music
آغوش شادمهر را پخش کن,play_music
آهنگ هانیه از سالار عقیلی را پخش کن,play_music
آهنگ بهت قول میدم را پخش کن,play_music
لیلا را پخش کن,play_music
لطفا آهنگ رپ پخش کن,play_music
لطفا آهنگ راک پخش کن,play_music
میشه چند تا آهنگ پخش کنی,play_music
عشق را پخش کن,play_music
من مادر هستم را پخش کن,play_music
موسیقی جان جانان بیست و پنج باند,play_music
بعد از این آهنگ اکسیژن را بزار,play_music
الکسا لیست آهنگ های کانتری من را پخش کن,play_music
دومین پلی لیست رو پخش کن,play_music
آخرین لیست آهنگ های من را پخش کن,play_music
alexa لیست آهنگ های اخیر من را پخش کن,play_music
در نرم افزار اسپاتیفای لیست پخش لیلا فروهر را پخش کن,play_music
لیست آهنگ های ورزشی من را پخش کن,play_music
موزیکی پخش کن که به آهنگی که امروز صبح گوش دادم مربوط باشه,play_music
الکسا آهنگی بزار که به آهنگی که امروز صبح گوش دادم مربوط باشه,play_music
آهنگی که من دوست دارم را پخش کن,play_music
همه آهنگ های ابی را پخش کن لطفا,play_music
ابی پخش کن,play_music
ترس از شادمهر را پخش کن,play_music
لطفا هر آهنگی از آلبوم ایوان بند را پخش کن,play_music
لطفا به پخش آهنگ بعدی ادامه بده,play_music
تمام آهنگ های ابی را پخش کن,play_music
لطفا آهنگ بزار,play_music
بعدی پایتخت رو پخش کن,play_music
لیلا رو بذار توی صف آهنگ‌ها,play_music
یک آهنگ پخش کن,play_music
برای من یک آهنگ به صورت رندوم پخش کن,play_music
چند تا آهنگ راک پخش کن,play_music
لیست آهنگ های رپ من را پخش کن,play_music
یک آهنگ پاپ خوب برایم پیدا کن,play_music
نوازش از تتلو را پخش کن,play_music
من الان واقعا احساس افسردگی دارم میشه لطفا اهنگ هایی که اغلب گوش میدهم را پخش کنی تا خوشحالم کنی,play_music
من عاشق ابی هستم لطفا بعد از این قطعه بیشترین آهنگ های پخش شده از او را برایم پخش کن,play_music
لیست آهنگ های ابی را پخش کن,play_music
ابی بزار,play_music
آهنگ کلاسیک پخش کن,play_music
لیست آهنگ های کلاسیک را پخش کن,play_music
آن آهنگ را دفعه بعد پخش کن,play_music
لیست آهنگ های انگیزشی من را پخش کن,play_music
لیست آهنگ های راک من را پخش کن,play_music
لیست آهنگ های مورد علاقه من را پخش کن,play_music
لیست آهنگ هایی رو پخش کن که دیشب گوش میدادیم,play_music
فهرست آهنگ های پاپ لطفا.,play_music
